station,lat,lon
Abbey Road DLR,51.5325181,0.0037702
Abbey Wood,51.4915342,0.1215457
Acton Central,51.5064722,-0.2641835
Acton Main Line,51.5178531,-0.2663126
Acton Town,51.5027143,-0.2799677
Aldgate,51.5142477,-0.0757186
Aldgate East,51.5153494,-0.0702476
All Saints,51.5108398,-0.0130551
Alperton,51.5408036,-0.3000963
Amersham,51.6545926,-0.5853416
Anerley,51.4120799,-0.0655535
Angel,51.5324874,-0.1060356
Archway,51.5660014,-0.1353098
Arnos Grove,51.6166273,-0.1331958
Arsenal,51.5583839,-0.1074866
Baker Street,51.5234241,-0.1580778
Balham,51.4430399,-0.1515974
Bank,51.5133036,-0.0897457
Barbican,51.5208745,-0.0973156
Barking,51.5393879,0.0815614
Barking Riverside,51.5198062,0.1160936
Barkingside,51.5873998,0.0849599
Barons Court,51.4902,-0.215087
Battersea Power Station,51.4798723,-0.1425074
Bayswater,51.512313,-0.1878028
Beckton,51.5137311,0.0609447
Beckton Park,51.5092093,0.0539985
Becontree,51.5403111,0.1265241
Belsize Park,51.5505889,-0.165142
Bermondsey,51.4978464,-0.0637407
Bethnal Green,51.5273143,-0.0548481
Bethnal Green NR,51.5303456,-0.0561633
Blackfriars,51.5104871,-0.1032417
Blackhorse Road,51.5869017,-0.0412711
Blackwall,51.5083098,-0.0073903
Bond Street,51.5142559,-0.1497856
Borough,51.5011444,-0.0932926
Boston Manor,51.4960028,-0.3250645
Bounds Green,51.6070469,-0.1245456
Bow Church,51.5280865,-0.0204581
Bow Road,51.5270591,-0.0252401
Brent Cross,51.5764413,-0.2128428
Brentwood,35.8638458,-94.1003587
Brixton,51.4625268,-0.1144038
Brockley,51.4633813,-0.0358641
Bromley-by-Bow,51.5246287,-0.0123189
Brondesbury,51.545363,-0.2021196
Brondesbury Park,51.5405138,-0.2103359
Bruce Grove,51.5948222,-0.070825
Buckhurst Hill,51.6255446,0.0426503
Burnt Oak,51.6026879,-0.2642036
Bush Hill Park,51.6421446,-0.0699649
Bushey,51.4052012,-0.2359167
Caledonian Road,51.5486636,-0.1180708
Caledonian Road & Barnsbury,51.5427426,-0.1174417
Cambridge Heath,51.5331911,-0.0571513
Camden Road,51.5419704,-0.139047
Camden Town,51.5393983,-0.1415573
Canada Water,51.4984711,-0.0490974
Canary Wharf,51.5054774,-0.0206736
Canary Wharf DLR,51.5051753,-0.020921
Canning Town,51.5142451,0.0086286
Cannon Street,51.5106685,-0.0906046
Canonbury,51.5485632,-0.0930239
Canons Park,51.6076366,-0.2946531
Chadwell Heath,51.5686553,0.1296555
Chalk Farm,51.5438616,-0.1542161
Chancery Lane,51.5182021,-0.1122349
Charing Cross,51.5085185,-0.1254071
Chesham,51.5476083,-0.0501085
Cheshunt,51.5425834,0.0315187
Chigwell,51.5983169,0.0372075
Chingford,51.6335156,0.0103639
Chiswick Park,51.4944941,-0.2676885
Chorleywood,51.404073,0.0981398
Clapham Common,51.4614528,-0.1392807
Clapham High Street,51.4652137,-0.1323568
Clapham Junction,51.4636536,-0.1690294
Clapham North,51.4646836,-0.1294519
Clapham South,51.4529021,-0.1485537
Clapton,51.5614219,-0.056971
Cockfosters,51.651537,-0.1497824
Colindale,51.5953302,-0.2501152
Colliers Wood,51.4176853,-0.1780897
Covent Garden,51.5129611,-0.1241901
Crossharbour,51.4964855,-0.0141948
Crouch Hill,51.5707034,-0.1160484
Croxley,51.529544,-0.2000379
Crystal Palace,51.4172619,-0.0736318
Cutty Sark,51.4820109,-0.0102352
Cyprus,51.5091139,0.0654194
Dagenham East,51.544018,0.1649496
Dagenham Heathway,51.5415534,0.1456377
Dalston Junction,51.5462061,-0.075114
Dalston Kingsland,51.5481908,-0.0760535
Debden,51.5942275,-0.0834918
Denmark Hill,51.4676216,-0.0899262
Deptford Bridge,51.4741638,-0.0223933
Devons Road,51.5230811,-0.0187557
Dollis Hill,51.5527239,-0.2394026
Ealing Broadway,51.5151841,-0.3022135
Ealing Common,51.5100753,-0.2873784
Earls Court,51.4919274,-0.1924361
East Acton,51.5151665,-0.248644
East Finchley,51.5871593,-0.1645081
East Ham,51.5390508,0.0514587
East India,51.5089553,-0.0026484
East Putney,51.4586138,-0.2112429
Eastcote,51.5762358,-0.3974017
Edgware,51.6134477,-0.275326
Edgware Road B,51.5193384,-0.1699149
Edmonton Green,51.6252455,-0.062246
Elephant & Castle,51.4942664,-0.100425
Elm Park,51.549579,0.1974303
Elverson Road,51.4685232,-0.0162072
Embankment,51.5084512,-0.1208791
Emerson Park,51.5686007,0.2202375
Enfield Town,51.6519432,-0.0808251
Epping,51.6676884,0.0548011
Euston,51.5288526,-0.1341909
Euston NR,51.5279309,-0.1291456
Euston Square,51.5258064,-0.1348495
Fairlop,51.5955727,0.0918256
Farringdon,51.5202107,-0.1057568
Finchley Central,51.601069,-0.1923646
Finchley Road,51.5462072,-0.1804186
Finchley Road & Frognal,51.5501285,-0.1823041
